"Measured","E1809","E1531","E1515","E1512","E2020","E1886","E2111","E1594","E1561","E1560","E1736","E2121","E1518","E1857","E1855","E1854","E1888","E1549","E2114","E1764","E1554","E1710","E1596","E1528","E1850","E1580","E1548","E1727","E1839","E1588","E1765","E1540","E1884","E1852","E2108","E1563","E1742","E1873","E1755","E1804","E2023","E1845","E1572","E1849","E1527","E2138","E1830","E1879","E2116","E1836","E1851","E1739","E1707","E1747","E2125","E1752","E1803","E1573","E1706","E1578","E1847","E1745","E1524","E1557","E1749","E1844","E1507","E1539","E1841","E1575","E1837","E1831","E1576","E1856","E1564","E1892","E1555","E1763","E1722","E2141","E1702","E1566","E1875","E1838","E1843","E1570","E2142","E1890","E1761","E2129","E1525","E1558"
"2023-10-14T14:55:00","0","-","0","0","0","0","-","-","-","0","0","-","0","-","-","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-0.27","-","-","-","0","0","0","0","0","0","-","-","-","0","-","0","0","0","0","0","0","-","0","-","0","-","0","0","-","0","0","0.58","-","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-0.63","-","-","0","-","0","0","0","-","-","-","0.36","0","-","-","-"
"2023-10-14T15:00:00","0","-","0","0","0","0","-","-0.61","-0.72","0","0","-","0","-0.7","-0.62","-","0","-","0","0.03","0","-","0","-0.67","0","-","0","-","0","-","-","-","-","0","0","0","0","0","0","-","-0.13","-","0","-","0","0","0","0","0","0","-","0","-","0","-","0","0","-","0","0","-","-","0","0","0","0","0","0","0","0","0","-","-","-0.45","-","-","-","-","-","0","-","0","0","0","-","-","-","-","0","-","-0.58","-"
"2023-10-14T15:05:00","0","-","0","0","0","0","-","-","-","0","0","-","0","-0.75","-0.64","-","0","-","0","-0.02","0","-","0","-","0","-","0","-","0","-0.32","-","-","-","0","0","0","0","0","0","-","-","-","0","-","0","0","0","0","0","0","-","0","-","0","-","0","0","-","0","0","-","-","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-0.68","-","-","0","-","0","0","0","-","-","-","0.34","0","-","-","-"
"2023-10-14T15:10:00","0","-","0","0","0","0","-","-","-","0","0","-","0","-","-0.66","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","-","-","-","0","0","0","0","0","0","-","-0.18","-","0","-","0","0","0","0","0","0","-","0","-","0","-","0","0","-","0","0","-","-","0","0","0","0","0","0","0","0","0","-","-","-0.5","-","-","-","-","-","0","-","0","0","0","-","-","-","-","0","-","-","-"
"2023-10-14T15:15:00","0","-","0","0","0","0","-","-0.66","-","0","0","-","0","-","-0.68","-","0","-","0","-0.07","0","-","0","-","0","-","0","-","0","-0.37","-","-","-","0","0","0","0","0","0","-","-","-","0","-","0","0","0","0","0","0","-","0","-","0","-","0","0","-","0","0","0.56","-","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","0","-","0","0","0","-","-","-","0.32","0","-","-","-"
"2023-10-14T15:20:00","0","-","0","0","0","0","-","-","-","0","0","-","0","-","-0.7","-","0","-","0","-","0","-","0","-0.72","0","-","0","-","0","-","-","-","-","0","0","0","0","0","0","-","-0.23","-","0","-","0","0","0","0","0","0","-","0","-","0","-","0","0","-","0","0","-","-","0","0","0","0","0","0","0","0","0","-","-","-0.55","-","-","-0.73","-","-","0","-","0","0","0","-","-","-","-","0","-","-","-"
"2023-10-14T15:25:00","0","-","0","0","0","0","-","-","-","0","0","-","0","-0.75","-0.72","-","0","-","0","-0.12","0","-","0","-","0","-","0","-","0","-0.42","-","-","-","0","0","0","0","0","0","-","-","-","0","-","0","0","0","0","0","0","-","0","-","0","-","0","0","-","0","0","-","-","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","0","-","0","0","0","-","-","-","0.3","0","-","-","-"
"2023-10-14T15:30:00","0","-","0","0","0","0","-","-0.66","-","0","0","-","0","-","-","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","-","-","-","0","0","0","0","0","0","-","-0.28","-","0","-","0","0","0","0","0","0","-","0","-","0","-","0","0","-","0","0","-","-","0","0","0","0","0","0","0","0","0","-","-","-0.6","-","-","-","-","-","0","-","0","0","0","-","-","-","0.28","0","-","-","-"
"2023-10-14T15:35:00","0","-","0","0","0","0","-","-","-","0","0","-","0","-0.8","-0.74","-","0","-","0","-0.17","0","-","0","-","0","-","0","-","0","-0.47","-","-","-","0","0","0","0","0","0","-","-","-","0","-","0","0","0","0","0","0","-","0","-","0","-","0","0","-","0","0","0.54","-","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","0","-","0","0","0","-","-","-","-","0","-","-","-"
"2023-10-14T15:40:00","0","-","0","0","0","0","-","-0.71","-","0","0","-","0","-0.8","-","-","0","-","0","-0.22","0","-","0","-","0","-","0","-","0","-","-","-","-","0","0","0","0","0","0","-","-0.33","-","0","-","0","0","0","0","0","0","-","0","-","0","-","0","0","-","0","0","-","-","0","0","0","0","0","0","0","0","0","-","-","-0.65","-","-","-","-","-","0","-","0","0","0","-","-","-","0.26","0","-","-","-"
"2023-10-14T15:45:00","0","-","0","0","0","0","-","-","-","0","0","-","0","-","-0.76","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","-","-","-","0","0","0","0","0","0","-","-","-","0","-","0","0","0","0","0","0","-","0","-","0","-","0","0","-","0","0","-","-","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","0","-","0","0","0","-","-","-","-","0","-","-","-"
"2023-10-14T15:50:00","0","-","0","0","0","0","-","-","-","0","0","-","0","-","-","-","0","-","0","-0.27","0","-","0","-","0","-","0","-","0","-0.52","-","-","-","0","0","0","0","0","0","-","-","-","0","-","0","0","0","0","0","0","-","0","-","0","-","0","0","-","0","0","-","-","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","0","-","0","0","0","0.27","-","-","0.24","0","-","-","-"
"2023-10-14T15:55:00","0","-","0","0","0","0","-","-","-","0","0","-","0","-0.8","-","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","-","-","-","0","0","0","0","0","0","-","-0.38","-","0","-","0","0","0","0","0","0","-","0","-","0","-","0","0","-","0","0","-","-","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","0","-","0","0","0","-","-","-","0.22","0","-","-","-"
"2023-10-14T16:00:00","0","-","0","0","0","0","-","-0.66","-","0","0","-","0","-","-","-","0","-","0","-0.32","0","-","0","-","0","-","0","-","0","-","-","-","-","0","0","0","0","0","0","-","-","-0.46","0","-","0","0","0","0","0","0","-","0","-","0","-","0","0","-","0","0","0.52","-","0","0","0","0","0","0","0","0","0","-","-","-0.7","-","-","-","-","-","0","-","0","0","0","-","-","-","-","0","-","-","-"
"2023-10-14T16:05:00","0","-","0","0","0","0","-","-","-","0","0","-","0","-0.8","-","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-0.57","-","-","-","0","0","0","0","0","0","-","-0.43","-","0","-","0","0","0","0","0","0","-","0","-","0","-","0","0","-","0","0","-","-","0","0","0","0","0","0","0","0","0","-","-","-","3.46","-","-","-","-","0","-","0","0","0","-","-","-","0.2","0","-","-","-"
"2023-10-14T16:10:00","0","-","0","0","0","0","-","-","-0.67","0","0","-","0","-0.75","-","-","0","-","0","-0.37","0","-","0","-","0","-","0","-","0","-","-","-","-","0","0","0","0","0","0","-","-","-","0","-","0","0","0","0","0","0","-","0","-","0","-","0","0","-","0","0","-","-","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","0","-","0","0","0","-","-","-","-","0","-","-","-"
"2023-10-14T16:15:00","0","-","0","0","0","0","-","-0.66","-","0","0","-","0","-","-","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","-","-","-","0","0","0","0","0","0","-","-0.48","-","0","-","0","0","0","0","0","0","-","0","-","0","-","0","0","-","0","0","-","-","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","0","-","0","0","0","-","-","-","0.18","0","-","-","-"
"2023-10-14T16:20:00","0","-","0","0","0","0","-","-0.61","-","0","0","-","0","-","-0.74","-","0","-","0","-0.42","0","-","0","-0.67","0","-","0","-","0","-","-","-","-","0","0","0","0","0","0","-","-","-","0","-","0","0","0","0","0","0","-","0","-","0","-","0","0","-","0","0","-","-","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","0","-","0","0","0","-","-","-","-","0","-","-","-"
"2023-10-14T16:25:00","0","-","0","0","0","0","-","-","-0.62","0","0","-","0","-","-","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","-","-","-","0","0","0","0","0","0","-","-","-","0","-","0","0","0","0","0","0","-","0","-","0","-","0","0","-","0","0","0.5","-","0","0","0","0","0","0","0","0","0","-","-","-0.75","-","-","-","-","-","0","-","0","0","0","-","-","-","0.16","0","-","-","-"
"2023-10-14T16:30:00","0","-","0","0","0","0","-","-0.61","-0.57","0","0","-","0","-0.7","-0.72","-","0","15.26","0","-0.47","0","-","0","-0.62","0","-","0","-","0","-","-","-","-","0","0","0","0","0","0","-","-0.53","-","0","-","0","0","0","0","0","0","-","0","-","0","-","0","0","-","0","0","-","-","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","0","-","0","0","0","-","-","-","-","0","-","-","-0.6"
"2023-10-14T16:35:00","0","-","0","0","0","0","-","-0.56","-","0","0","-","0","-0.65","-0.7","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","-","-","-","0","0","0","0","0","0","-","-","-","0","-","0","0","0","0","0","0","-","0","-","0","-","0","0","-","0","0","-","-","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","0","-","0","0","0","-","-","-","0.14","0","-","-","-0.55"
"2023-10-14T16:40:00","0","-","0","0","0","0","-","-","-0.52","0","0","-","0","-0.65","-0.68","-","0","-","0","-0.52","0","-","0","-0.57","0","-","0","-","0","-","-","-","-","0","0","0","0","0","0","-","-","-","0","-","0","0","0","0","0","0","-","0","-","0","-","0","0","-","0","0","-","-","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-0.68","-","-","0","-","0","0","0","-","-","-","-","0","-","-0.53","-"
"2023-10-14T16:45:00","0","-","0","0","0","0","-","-0.51","-0.47","0","0","-","0","-0.6","-0.64","-","0","-","0","-","0","-","0","-0.52","0","-","0","-","0","-","-","-","-","0","0","0","0","0","0","-","-0.58","-","0","-","0","0","0","0","0","0","-","0","-","0","-","0","0","-","0","0","-","-","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","0","-","0","0","0","-","-","-","0.12","0","4.18","-","-0.5"
"2023-10-14T16:50:00","0","-","0","0","0","0","-","-0.46","-0.42","0","0","4.58","0","-","-0.62","-","0","-","0","-0.57","0","-","0","-","0","-","0","-","0","-","-","-","-","0","0","0","0","0","0","-","-","-","0","-","0","0","0","0","0","0","-","0","-","0","-","0","0","-","0","0","0.48","-","0","0","0","0","0","0","0","0","0","-","-","-0.7","-","-","-0.63","-","-","0","-","0","0","0","-","-","-","0.1","0","-","-0.48","-0.45"
"2023-10-14T16:55:00","0","-","0","0","0","0","-","-0.41","-","0","0","-","0","-0.55","-0.58","-","0","-","0","-","0","-","0","-0.47","0","-","0","-","0","-","-","-","-","0","0","0","0","0","0","-","-","-","0","-","0","0","0","0","0","0","-","0","-","0","-","0","0","-","0","0","-","-","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-0.58","-","-","0","-","0","0","0","-","-","-","-","0","-","-","-"
"2023-10-14T17:00:00","0","-","0","0","0","0","-","-","-0.37","0","0","-","0","-0.5","-0.54","-","0","-","0","-0.62","0","-","0","-0.42","0","-","0","-","0","-","-","-","-","0","0","0","0","0","0","-","-","-","0","-","0","0","0","0","0","0","-","0","-","0","-","0","0","-","0","0","-","-","0","0","0","0","0","0","0","0","0","-","-","-0.65","-","-","-","-","-","0","-","0","0","0","-","-","-","0.08","0","-","-0.43","-0.4"
"2023-10-14T17:05:00","0","-","0","0","0","0","-","-0.36","-0.32","0","0","-","0","-0.45","-0.52","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","-","-","-","0","0","0","0","0","0","-","-","-","0","-","0","0","0","0","0","0","-","0","-","0","-","0","0","-","0","0","-","-","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-0.53","-","-","0","-","0","0","0","-","-","-","-","0","-","-0.38","-0.35"
"2023-10-14T17:10:00","0","-","0","0","0","0","-","-0.31","-","0","0","-","0","-0.4","-0.48","-","0","-","0","-0.67","0","-","0","-0.37","0","-","0","-","0","-0.52","-","-","-","0","0","0","0","0","0","-","-","-","0","-","0","0","0","0","0","0","-","0","-","0","-","0","0","-","0","0","-","-","0","0","0","0","0","0","0","0","0","-","-","-0.6","-","-","-0.48","-","-","0","-","0","0","0","-","-","-","0.06","0","-","-0.33","-"
"2023-10-14T17:15:00","0","-","0","0","0","0","-","-0.26","-0.27","0","0","-","0","-","-0.44","-","0","-","0","-","0","-","0","-0.32","0","-","0","-","0","-","-","-","-","0","0","0","0","0","0","-","-","-","0","-","0","0","0","0","0","0","-","0","-","0","-","0","0","-","0","0","-","-","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","0","-","0","0","0","-","-","-","-","0","-","-","-0.3"
"2023-10-14T17:20:00","0","-","0","0","0","0","-","-0.21","-0.22","0","0","-","0","-0.35","-0.4","-","0","-","0","-","0","-","0","-0.27","0","-","0","-","0","-0.47","-","-","-","0","0","0","0","0","0","-","-","-","0","-","0","0","0","0","0","0","-","0","-","0","-","0","0","-","0","0","0.46","-","0","0","0","0","0","0","0","0","0","-","-","-0.55","-","-","-0.43","-","-","0","-","0","0","0","-","-","-","0.04","0","-","-0.28","-0.25"
"2023-10-14T17:25:00","0","-","0","0","0","0","-","-","-","0","0","-","0","-0.3","-0.36","-","0","-","0","-0.72","0","-","0","-","0","-","0","-","0","-","-","-","-","0","0","0","0","0","0","-","-","-","0","-","0","0","0","0","0","0","-","0","-","0","-","0","0","-","0","0","-","-","0","0","0","0","0","0","0","0","0","-","-","-0.5","-","-","-0.38","-","-","0","-","0","0","0","0.22","-","-","-","0","-","-0.23","-"
"2023-10-14T17:30:00","0","-","0","0","0","0","-","-0.16","-0.17","0","0","-","0","-0.25","-0.32","-","0","-","0","-","0","-","0","-0.22","0","-","0","-","0","-0.42","-","-","-","0","0","0","0","0","0","-","-0.53","-","0","-","0","0","0","0","0","0","-","0","-","0","-","0","0","-","0","0","-","-","0","0","0","0","0","0","0","0","0","-","-","-0.45","-","-","-0.33","-","-","0","-","0","0","0","-","-","-","-","0","-","-0.18","-0.2"
"2023-10-14T17:35:00","0","-","0","0","0","0","-","-0.11","-0.12","0","0","-","0","-","-0.28","-","0","-","0","-","0","-","0","-0.17","0","-","0","-","0","-0.37","-","29.7","-","0","0","0","0","0","0","18.34","-","-","0","-","0","0","0","0","0","0","-","0","-","0","-","0","0","-","0","0","-","-","0","0","0","0","0","0","0","0","0","-","-","-0.4","-","-","-","-","-","0","-","0","0","0","-","-","-","0.02","0","-","-0.13","-0.15"
"2023-10-14T17:40:00","0","-","0","0","0","0","-","-0.06","-","0","0","-","0","-0.2","-0.24","-","0","-","0","-","0","-","0","-0.12","0","-","0","-","0","-0.32","-","-","-","0","0","0","0","0","0","-","-0.48","-","0","-","0","0","0","0","0","0","-","0","-","0","-","0","0","-","0","0","-","-","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-0.28","-","-","0","-","0","0","0","-","-","-","-","0","-","-","-0.1"
"2023-10-14T17:45:00","0","-","0","0","0","0","-","-","-0.07","0","0","-","0","-0.15","-0.2","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-0.27","-","-","-","0","0","0","0","0","0","-","-0.43","-","0","-","0","0","0","0","0","0","-","0","-","0","-","0","0","-","0","0","-","-","0","0","0","0","0","0","0","0","0","-","-","-0.35","-","-","-0.23","-","-","0","-","0","0","0","-","-","-","0","0","-","-0.08","-"
"2023-10-14T17:50:00","0","-","0","0","0","0","-","-0.01","-0.02","0","0","-","0","-0.1","-0.16","-","0","-","0","-","0","-","0","-0.07","0","-","0","-","0","-0.22","-","-","-","0","0","0","0","0","0","-","-","-","0","-","0","0","0","0","0","0","-","0","-","0","-","0","0","-","0","0","0.44","-","0","0","0","0","0","0","0","0","0","-","-","-0.3","-","-","-0.18","-","-","0","-","0","0","0","-","-","-","-","0","-","-0.03","-0.05"
"2023-10-14T17:55:00","0","-","0","0","0","0","-","0.04","-","0","0","-","0","-","-0.12","-","0","-","0","-","0","-","0","-0.02","0","-","0","-","0","-","-","-","-","0","0","0","0","0","0","-","-0.38","-","0","-","0","0","0","0","0","0","-","0","-","0","-","0","0","-","0","0","-","-","0","0","0","0","0","0","0","0","0","-","-","-0.25","-","-","-0.13","-","-","0","-","0","0","0","-","-","-","-0.02","0","-","0.02","0"
"2023-10-14T18:00:00","0","-","0","0","0","0","-","0.04","0.03","0","0","-","0","-0.05","-0.08","-","0","-","0","-","0","-","0","0.03","0","-","0","-","0","-0.17","-","-","-","0","0","0","0","0","0","-","-0.33","-","0","-","0","0","0","0","0","0","-","0","-","0","-","0","0","-","0","0","-","-","0","0","0","0","0","0","0","0","0","-","-","-0.2","-","-","-","-","-","0","-","0","0","0","-","-","-","-","0","-","-","0.05"
"2023-10-14T18:05:00","0","-","0","0","0","0","-","0.09","0.08","0","0","-","0","0","-0.04","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-0.12","-","-","-","0","0","0","0","0","0","-","-","-","0","-","0","0","0","0","0","0","-","0","-","0","-","0","0","-","0","0","-","-","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-0.08","-","-","0","-","0","0","0","-","-","-","-0.04","0","-","0.07","-"
"2023-10-14T18:10:00","0","-","0","0","0","0","-","0.14","-","0","0","-","0","0","0","-","0","-","0","-","0","-","0","0.08","0","-","0","-","0","-0.07","-","-","-","0","0","0","0","0","0","-","-0.28","-","0","-","0","0","0","0","0","0","-","0","-","0","-","0","0","-","0","0","-","-","0","0","0","0","0","0","0","0","0","-","-","-0.15","-","-","-0.03","-","-","0","-","0","0","0","-","-","-","-","0","-","0.12","0.1"
"2023-10-14T18:15:00","0","-","0","0","0","0","-","0.19","0.13","0","0","-","0","0.05","0.02","-","0","-","0","-","0","-","0","0.13","0","-","0","-","0","-","-","-","-","0","0","0","0","0","0","-","-0.23","-","0","-","0","0","0","0","0","0","-","0","-","0","-","0","0","-","0","0","-","-","0","0","0","0","0","0","0","0","0","-","-","-0.1","-","-","0.02","-","-","0","-","0","0","0","-","-","-","-0.06","0","-","0.17","0.15"
"2023-10-14T18:20:00","0","-","0","0","0","0","-","-","0.18","0","0","-","0","0.1","0.06","-","0","-","0","-0.67","0","-","0","-","0","1.46","0","-","0","-0.02","-","-","-","0","0","0","0","0","0","-","-","-","0","-","0","0","0","0","0","0","-","0","-","0","-","0","0","-","0","0","-","-","0","0","0","0","0","0","0","0","0","-","-","-","-","-","0.07","-","-","0","-","0","0","0","-","-","-","-","0","-","-","0.2"
"2023-10-14T18:25:00","0","-","0","0","0","0","-","0.24","0.23","0","0","-","0","0.15","0.1","-","0","-","0","-0.62","0","-","0","0.18","0","-","0","-","0","0.03","-","-","-","0","0","0","0","0","0","-","-0.18","-","0","-","0","0","0","0","0","0","-","0","-","0","-","0","0","-","0","0","-","-","0","0","0","0","0","0","0","0","0","-","-","-0.05","-","-","0.12","-","-","0","-","0","0","0","-","-","-","-","0","-","0.22","-"
"2023-10-14T18:30:00","0","-","0","0","0","0","-","0.29","-","0","0","-","0","-","0.14","-","0","-","0","-","0","-","0","0.23","0","-","0","-","0","-","-","-","-","0","0","0","0","0","0","-","-0.13","-","0","-","0","0","0","0","0","0","-","0","-","0","-","0","0","-","0","0","-","-","0","0","0","0","0","0","0","0","0","-","-","0","-","-","-","-","-","0","-","0","0","0","-","-","-","-0.08","0","-","0.27","0.25"
"2023-10-14T18:35:00","0","-","0","0","0","0","-","0.34","0.28","0","0","-","0","0.2","0.16","-","0","-","0","-0.57","0","-","0","0.28","0","-","0","-","0","0.08","-","-","-","0","0","0","0","0","0","-","-","-","0","-","0","0","0","0","0","0","-","0","-","0","-","0","0","-","0","0","-","-","0","0","0","0","0","0","0","0","0","-","-","-","-","-","0.17","-","-","0","-","0","0","0","-","-","-","-","0","-","-","0.3"
"2023-10-14T18:40:00","0","-","0","0","0","0","-","0.39","0.33","0","0","-","0","-","0.2","-","0","-","0","-0.52","0","-","0","-","0","-","0","-","0","0.13","-","-","-","0","0","0","0","0","0","-","-0.08","-","0","-","0","0","0","0","0","0","-","0","-","0","-","0","0","-","0","0","-","-","0","0","0","0","0","0","0","0","0","-","-","0.05","-","-","0.22","-","-","0","-","0","0","0","-","-","-","-","0","-","0.32","0.35"
"2023-10-14T18:45:00","0","-","0","0","0","0","-","-","0.38","0","0","-","0","0.3","0.24","-","0","-","0","-","0","-","0","0.33","0","-","0","-","0","0.18","-","-","-","0","0","0","0","0","0","-","-0.03","-","0","-","0","0","0","0","0","0","-","0","-","0","-","0","0","-","0","0","-","-","0","0","0","0","0","0","0","0","0","-","-","0.1","-","-","-","-","-","0","-","0","0","0","-","-","-","-0.1","0","-","0.37","-"
"2023-10-14T18:50:00","0","-","0","0","0","0","-","0.44","-","0","0","-","0","-","0.28","-","0","-","0","-0.47","0","-","0","0.38","0","-","0","-","0","-","-","-","-","0","0","0","0","0","0","-","-","-","0","-","0","0","0","0","0","0","-","0","-","0","-","0","0","-","0","0","-","-","0","0","0","0","0","0","0","0","0","-","-","-","-","-","0.27","-","-","0","-","0","0","0","-","-","-","-","0","-","0.42","0.4"
"2023-10-14T18:55:00","0","-","0","0","0","0","-","0.49","0.43","0","0","-","0","0.35","0.32","-","0","-","0","-0.42","0","-","0","0.43","0","-","0","-","0","0.23","-","-","-","0","0","0","0","0","0","-","0.02","-","0","-","0","0","0","0","0","0","-","0","-","0","1.04","0","0","-","0","0","-","-","0","0","0","0","0","0","0","0","0","-","-","0.15","-","-","0.32","-","-","0","-","0","0","0","0.27","-","-","-","0","-","0.47","0.45"
"2023-10-14T19:00:00","0","-","0","0","0","0","-","0.59","0.48","0","0","-","0","0.4","0.34","-","0","-","0","-","0","-","0","0.48","0","-","0","-","0","-","-","-","-","0","0","0","0","0","0","-","0.07","-","0","-","0","0","0","0","0","0","-","0","-","0","-","0","0","-","0","0","-","-","0","0","0","0","0","0","0","0","0","-","-","0.2","-","-","-","-","-","0","-","0","0","0","-","-","-","-","0","-","-","0.5"
"2023-10-14T19:05:00","0","-","0","0","0","0","-","0.54","0.53","0","0","-","0","0.45","0.4","-","0","-","0","-0.37","0","-","0","-","0","-","0","-","0","0.28","-","-","-","0","0","0","0","0","0","-","-","-","0","-","0","0","0","0","0","0","-","0","-","0","-","0","0","-","0","0","-","-","0","0","0","0","0","0","0","0","0","-","-","-","-","-","0.37","-","-","0","-","0","0","0","0.32","-","-","-","0","-","0.52","0.55"
"2023-10-14T19:10:00","0","-","0","0","0","0","-","0.59","-","0","0","-","0","-","0.42","-","0","-","0","-0.32","0","-","0","0.53","0","-","0","-","0","0.33","-","-","-","0","0","0","0","0","0","-","0.12","-","0","-","0","0","0","0","0","0","-","0","-","0","-","0","0","-","0","0","-","-","0","0","0","0","0","0","0","0","0","-","-","0.25","-","-","0.42","-","-","0","-","0","0","0","0.37","-","-","-","0","-","0.57","-"
"2023-10-14T19:15:00","0","-","0","0","0","0","-","0.64","0.58","0","0","-","0","0.5","0.48","-","0","-","0","-","0","-","0","0.58","0","-","0","-","0","-","-","-","-","0","0","0","0","0","0","-","-","-","0","-","0","0","0","0","0","0","-","0","-","0","-","0","0","-","0","0","-","-","0","0","0","0","0","0","0","0","0","-","-","0.3","-","-","0.47","-","-","0","-","0","0","0","0.42","-","-","-","0","-","0.62","0.6"
"2023-10-14T19:20:00","0","-","0","0","0","0","-","0.69","-","0","0","-","0","0.55","0.5","-","0","-","0","-0.27","0","-","0","-","0","-","0","-","0","0.38","-","-","-","0","0","0","0","0","0","-","0.17","-","0","-","0","0","0","0","0","0","-","0","-","0","-","0","0","-","0","0","-","-","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","0","-","0","0","0","0.47","-","-","-0.08","0","-","-","0.65"
"2023-10-14T19:25:00","0","-","0","0","0","0","-","-","0.63","0","0","-","0","0.6","0.54","-","0","-","0","-0.22","0","-","0","0.63","0","-","0","-","0","0.43","-","-","-","0","0","0","0","0","0","-","0.22","-","0","-","0","0","0","0","0","0","-","0","-","0","-","0","0","-","0","0","-","-","0","0","0","0","0","0","0","0","0","-","-","0.35","-","-","0.52","-","-","0","-","0","0","0","0.52","-","-","-","0","-","0.67","0.7"
"2023-10-14T19:30:00","0","-","0","0","0","0","-","0.79","0.68","0","0","-","0","-","0.58","-","0","-","0","-0.17","0","-","0","-","0","-","0","-","0","-","-","-","-","0","0","0","0","0","0","-","-","-","0","-","0","0","0","0","0","0","-","0","-","0","-","0","0","-","0","0","-","-","0","0","0","0","0","0","0","0","0","-","-","0.4","-","-","0.57","-","-","0","-","0","0","0","0.57","-","-","-0.06","0","-","0.72","-"
"2023-10-14T19:35:00","0","-","0","0","0","0","-","-","-","0","0","-","0","0.65","0.6","-","0","-","0","-","0","-","0","-","0","-","0","-","0","0.48","-","-","-","0","0","0","0","0","0","-","0.27","-","0","-","0","0","0","0","0","0","-","0","-","0","-","0","0","-","0","0","-","0.9","0","0","0","0","0","0","0","0","0","-","-","0.45","-","-","0.62","-","-","0","-","0","0","0","0.62","-","-","-","0","-","-","0.75"
"2023-10-14T19:40:00","0","-","0","0","0","0","-","-","0.73","0","0","-","0","0.65","0.64","-","0","-","0","-0.12","0","-","0","0.73","0","-","0","-","0","0.53","-","-","-","0","0","0","0","0","0","-","-","-","0","-","0","0","0","0","0","0","-","0","-","0","-","0","0","-","0","0","-","-","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","0","-","0","0","0","0.67","-","-","-0.04","0","-","0.77","0.8"
"2023-10-14T19:45:00","0","-","0","0","0","0","-","0.84","-","0","0","-","0","0.7","0.66","-","0","-","0","-0.07","0","-","0","0.78","0","-","0","-","0","0.58","-","-","-","0","0","0","0","0","0","-","0.32","-","0","-","0","0","0","0","0","0","-","0","-","0","-","0","0","-","0","0","-","-","0","0","0","0","0","0","0","0","0","-","-","0.5","-","-","0.67","-","-","0","-","0","0","0","0.72","-","-","-","0","-","0.82","-"
"2023-10-14T19:50:00","0","-","0","0","0","0","-","-","-","0","0","-","0","0.75","0.7","-","0","-","0","-0.02","0","-","0","-","0","-","0","-","0","-","-","-","-","0","0","0","0","0","0","-","0.37","-","0","-","0","0","0","0","0","0","-","0","-","0","-","0","0","-","0","0","-","-","0","0","0","0","0","0","0","0","0","-","-","0.55","-","-","-","-","-","0","-","0","0","0","-","-","-","-0.02","0","-","-","0.85"
"2023-10-14T19:55:00","0","-","0","0","0","0","-","0.89","0.78","0","0","-","0","-","0.72","-","0","-","0","-","0","-","0","0.83","0","-","0","-","0","0.63","0.24","-","-","0","0","0","0","0","0","-","-","-","0","-","0","0","0","0","0","0","-","0","-","0","-","0","0","-","0","0","-","-","0","0","0","0","0","0","0","0","0","-","-","-","-","-","0.72","-","-","0","-","0","0","0","0.77","-","-","-","0","-","0.87","-"
"2023-10-14T20:00:00","0","-","0","0","0","0","-","-","-","0","0","-","0","0.8","0.76","-","0","-","0","0.03","0","-","0","-","0","-","0","-","0","0.68","0.28","-","-","0","0","0","0","0","0","-","0.42","-0.41","0","-","0","0","0","0","0","0","-","0","-","0","-","0","0","-","0","0","-","-","0","0","0","0","0","0","0","0","0","-","-","0.6","-","-","-","-","-","0","-","0","0","0","-","-","-","0","0","-","-","-"
